ID,Name,Age,City,Salary,Purchase_Amount
337,Francisco Brewer PhD,38,Marthaburgh,87251.85,474.87
338,Vickie Ho,32,North Tanya,104070.36,338.99
339,Michele Aguirre,44,Lake Amanda,65113.37,161.08
340,Randy Hicks,43,Orozcoland,48848.47,367.4
341,Tiffany Gray,26,West Melissastad,69981.89,352.4
342,Penny Grimes,27,Elizabethside,96300.47,297.32
343,Ashley Melton,34,Garciaville,103103.55,478.04
344,Robert Lewis,42,North Anthonymouth,80629.18,203.3
345,Elizabeth Harmon,58,Lake Christine,117965.17,204.3
346,Julie Estrada,24,North Manuelfurt,111748.33,94.14
347,Dennis Gill,40,Stanleyland,64976.23,346.87
348,Brittany Simpson,45,New Kevintown,51796.58,247.08
349,Mia Owens,19,Lake Alexandrahaven,63177.23,331.75
350,Thomas Beasley,42,Port Julieshire,97174.08,56.61
351,Michael Martinez,51,Bakerstad,45167.81,253.43
352,Kevin Miller,55,North Jenniferville,70165.24,495.41
353,Ashlee Ferguson,39,West Todd,34946.35,274.96
354,Whitney Ryan,64,South Adamshire,62686.43,139.86
355,Donna Browning,59,Petershaven,66027.06,133.02
356,Kevin Carr,45,Rogerton,59646.53,438.81
357,Tina Blackburn,33,South Elizabeth,77102.4,476.97
358,Nicole Todd,29,North Annette,43722.42,384.25
359,Caitlin Ward,56,Butlerton,81168.27,434.73
360,Teresa Shepherd,33,Port Emily,72191.41,492.77
361,Richard Woodard,56,Terristad,118860.37,458.85
362,Jacqueline Bowman,52,Gailtown,76974.29,434.61
363,Maxwell Nelson,30,Michaelshire,51460.83,297.24
364,Deborah Cox,28,South Shawnshire,51522.17,277.25
365,Eric Mcgee,42,Ericksonland,77630.39,337.12
366,Pamela Davis,25,South Stephenmouth,113579.85,163.25
367,Charles Young,44,North Scottland,95626.31,234.72
368,Susan Reese,26,East Cindy,90985.18,43.97
369,Nicholas Calderon,50,Wendytown,70271.36,448.2
370,Kathleen Martinez,52,Valerieview,31718.12,307.92
371,Jessica Berg,27,Terrymouth,73578.64,243.66
372,Stephanie Willis,44,Rhodesmouth,90843.16,354.92
373,Nathan Aguilar,53,South Cameronchester,71394.74,373.0
374,John Cardenas,53,Port Michaelburgh,57532.33,472.21
375,Stephanie Stewart,31,Port Seanshire,40267.86,494.17
376,Lisa Rivera,36,Palmerside,56355.33,488.06
377,Derek Wang,39,Jamesburgh,93663.98,256.19
378,Michael Berry,55,West Courtneytown,73731.69,363.58
379,Michael Wright,27,South Tammy,49080.48,17.8
380,Stephanie Clark,24,North Anthony,44785.57,109.57
381,Rodney Vasquez,62,Copelandmouth,118441.64,303.19
382,Colin Bates,41,Evansburgh,52261.41,226.53
383,Briana Bradley,58,South Nataliefort,87163.44,469.2
384,Erica Anthony,19,New Chelsea,75242.63,158.66
385,Philip Peters,65,Lake Rebeccaville,111671.92,46.43
386,Francis Alexander,49,Port Natasha,98720.47,256.34
387,Kayla Lopez,19,North Taylor,67654.2,120.56
388,Rachel Johnson,43,North Jerry,53078.6,469.74
389,Gail Wilkinson,52,Perkinstown,119182.75,421.23
390,David Wade,25,Port Justin,77076.86,215.24
391,Ralph Hall DVM,33,East Charles,99702.24,457.24
392,Matthew Klein,47,Craneburgh,93644.29,202.03
393,John King,54,Mirandahaven,76440.05,447.26
394,Tammy Jones,48,South Jeffery,75107.38,87.59
395,Jose Bowman,30,North Thomas,90753.55,353.0
396,James Miller,32,Byrdfort,114560.87,407.3
397,Mark Ramos,22,East Kelly,91871.21,402.53
398,Christopher Buchanan,54,Ericksonport,79381.34,472.68
399,Nicholas Velazquez,59,West Michelleland,106711.2,285.84
400,Robert Walsh,64,Port Marychester,86135.94,368.09
401,Terry York,23,West Ryanton,103455.13,174.78
402,Hannah Kane,21,Hernandezhaven,80001.34,148.93
403,Keith Jimenez,53,Lake Johnfurt,75886.78,301.13
404,Robert Rivera,19,West Jennifer,85391.02,194.12
405,Anthony Lane,36,Bethshire,38575.68,115.98
406,Robert Kelly,38,Robinmouth,76244.32,188.79
407,Terry Harrison,40,Loganburgh,36244.5,377.53
408,David Romero,37,Sandrahaven,36178.5,53.44
409,Angel Duarte,54,Cowanland,82921.7,492.84
410,Robert Hudson,64,Port Deniseville,65109.32,385.27
411,Jessica Joseph,45,Tuckerfurt,36573.59,342.26
412,Rebecca Castro,62,Brandonbury,72088.67,85.1
413,Tonya Miller,36,Jonathanside,98580.41,107.99
414,Andrew Frost,64,South Dustinside,72110.18,392.78
415,Jacob Griffin,56,Ryanland,99525.5,97.12
416,Wayne Davis,29,South Brian,106044.89,358.44
417,Emily Johnson,25,New Jacqueline,89239.64,343.04
418,Mr. Kenneth Mills,58,Gonzalezshire,94470.78,265.58
419,Nicole Ruiz,31,Port Jasonstad,49835.63,106.71
420,John Johnson,43,Sandraberg,32913.15,307.9
421,Patricia Robles,48,South Robert,40376.32,499.91
422,Tony Stewart,31,North Valerie,77699.42,459.24
423,Jessica Baxter,27,North Brittany,95143.81,461.98
424,Craig Moore,26,West Anthonyview,114031.29,479.33
425,Jeffrey Smith,42,South Cynthiafort,38112.65,391.63
426,Donald Olson,51,Port Timothy,92871.79,39.74
427,Austin Nolan,48,Lake Marvinfurt,92108.18,476.27
428,Jerry Morales,31,Port Ericmouth,110400.67,177.77
429,Michele Cortez,61,Lake Jacquelineborough,92510.48,479.44
430,Donald Cochran,53,Johnnyfort,88966.18,17.21
431,Joanne Salazar,47,New Michael,117623.88,83.97
432,James Bernard,19,Lisaton,83543.79,330.0
433,Kenneth Dudley,24,East Ryan,81372.38,127.79
434,Timothy Sweeney,51,East Randall,98601.9,21.18
435,Heather Hopkins,47,Samuelbury,32474.77,279.68
436,Karen Sanchez,45,South Vincent,33073.18,470.9
437,Alison Campbell,45,West Jeremy,95821.62,286.71
438,Melissa Warner,28,Lake Ericville,105444.76,323.8
439,Mr. Michael Turner,21,Walkerstad,105206.18,23.59
440,Michael Brown,19,Markfort,72560.32,312.25
441,Dylan Montgomery,57,Lake William,71167.41,405.33
442,Brianna Trevino,64,North Marymouth,114302.61,294.66
443,Deborah Ruiz,57,Frostville,32627.76,430.76
444,Thomas Durham,22,North William,104458.14,360.46
445,Holly Jones,53,East Charlesburgh,74083.85,370.94
446,Daniel Horn,52,Hillmouth,32754.0,269.29
447,Amanda Woods,51,Matthewton,56056.32,462.92
448,Brandy Simmons,60,East Stephen,37950.58,487.61
449,David Young,41,Oneillport,98521.22,382.7
450,Kelly Thompson,50,North Megan,90436.22,93.56
451,Hunter Lee,48,Ashleeborough,41041.4,208.04
452,Robert Torres,38,New Misty,72760.03,349.25
453,Elizabeth Weaver,56,East Kimberlyhaven,101466.36,111.35
454,John Richardson,57,Alexanderbury,43062.01,207.74
455,Lisa Scott,45,Brittanyton,88726.43,191.72
456,Juan Vazquez,60,Port Sethbury,101909.25,70.46
457,Sarah Lee,57,Nathanbury,106082.17,77.43
458,Suzanne Cox,24,Port Sean,115355.84,143.51
459,Kaitlyn Waller,26,Port Dylan,76881.73,97.94
460,Nancy Castro,39,Port Meredith,69414.06,255.21
461,Michael Nguyen Jr.,62,South Josephland,110834.88,109.61
462,Thomas Evans,52,Middletonfort,54955.63,141.42
463,Gregory Snyder,42,North Ann,106842.55,111.43
464,Mrs. Ana Robles,51,Rossside,36232.09,219.98
465,Joshua Henry,37,South Erica,59411.93,286.21
466,Debbie Campos,59,South Lauren,97894.4,39.24
467,Linda Stevens,21,East Karenborough,51836.98,469.97
468,Jennifer Barron,62,East Stacyshire,78608.72,110.69
469,Ralph Callahan,37,Alyssaside,30077.06,437.0
470,Steven Hart,35,South Sharon,36868.05,496.14
471,Susan Garcia,41,Port Lindsey,64576.38,414.6
472,Erica Porter,41,New Peggy,92120.35,106.66
473,Amy Saunders,19,North Alexis,40935.26,482.02
474,Willie Rodriguez,62,Williamsmouth,69608.35,56.03
475,Debra Carlson,58,Dunnchester,118408.92,274.19
476,Michelle Young,31,East Paula,116258.03,399.55
477,Nicholas Evans,20,Lake Laurenstad,57723.4,126.61
478,Amanda Murphy,51,New Andrea,73062.54,220.81
479,Renee Kelley,22,Floresstad,41567.39,492.87
480,Dr. Lacey Hunter,55,Aimeetown,45570.04,443.64
481,Victor Hoffman,41,Port Carl,62061.39,38.58
482,Julie Roberts,35,Davidport,77352.7,229.92
483,Ricardo Palmer,22,Joshuaborough,119116.87,145.31
484,James Meyer,22,Romerofurt,100036.67,53.93
485,Stephanie Marshall,60,Port Stephaniefort,78805.13,122.15
486,Molly Miller,43,Lake Andrea,51779.07,458.21
487,Jenna Lam,37,South Jamie,62518.92,38.62
488,John Brown,35,Salazarshire,107364.15,366.73
489,Jacob Higgins,27,Spencerchester,33574.39,231.03
490,Matthew Gallegos,49,Thompsonborough,107516.82,446.43
491,Michael Allen,36,South Deannaburgh,44103.14,451.62
492,Monica Chapman,44,Danielberg,61982.51,58.02
493,Karen Lewis,55,West Wendystad,58047.95,449.47
